Id,Timestamp,Time,MS,V,A,MV,T,Area1,current_density,humidity,ambient_temperature,bath_pH,bath_conductivity,diameter,roughness_average_b,roughness_standard_deviation_b,alloy,voltage,ramp_time,holding_time,experiment_time,area,observations,thickness_average_a,thickness_standard_deviation_a,thickness_average_b,thickness_standard_deviation_b,roughness_average_a,roughness_standard_deviation_a
3,1687425710.5,2023-06-22 09:21:50,500,   +0.18,   +0.00,   +0.04,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
6,1687425711.25,2023-06-22 09:21:51,250,   +0.17,   +0.00,   -0.02,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
9,1687425712,2023-06-22 09:21:52,000,   +0.17,   +0.00,   +0.01,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
12,1687425712.75,2023-06-22 09:21:52,750,   +0.17,   +0.00,   -0.01,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
15,1687425713.5,2023-06-22 09:21:53,500,   +0.16,   +0.00,   -0.02,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
18,1687425714.25,2023-06-22 09:21:54,250,   +0.16,   +0.00,   -0.03,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
21,1687425715,2023-06-22 09:21:55,000,   +0.15,   +0.00,   -0.03,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
24,1687425715.75,2023-06-22 09:21:55,750,   +0.15,   +0.00,   -0.02,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
27,1687425716.5,2023-06-22 09:21:56,500,   +0.14,   +0.00,   -0.02,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
30,1687425717.25,2023-06-22 09:21:57,250,   +0.14,   +0.00,   -0.03,   +38.4,0.5,0,74,23,0.47,168.6,NaN,NaN,NaN,7075,14,,20,NaN,0.5,NaN,3.59,0.172,3.76,0.409,NaN,NaN
