Id,Timestamp,Time,MS,V,A,MV,T,Area1,current_density,humidity,ambient_temperature,bath_pH,bath_conductivity,diameter,roughness_average_b,roughness_standard_deviation_b,alloy,voltage,ramp_time,holding_time,experiment_time,area,observations,thickness_average_a,thickness_standard_deviation_a,thickness_average_b,thickness_standard_deviation_b,roughness_average_a,roughness_standard_deviation_a
1,1687943505,2023-06-28 09:11:45,000,   +0.01,   +0.00,   +0.07,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
2,1687943505.25,2023-06-28 09:11:45,250,   +0.01,   +0.00,   +0.03,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
8,1687943506.75,2023-06-28 09:11:46,750,   +0.01,   +0.00,   -0.06,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
10,1687943507.25,2023-06-28 09:11:47,250,   +0.01,   +0.00,   -0.05,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
11,1687943507.5,2023-06-28 09:11:47,500,   +0.01,   +0.00,   -0.01,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
13,1687943508,2023-06-28 09:11:48,000,   +0.01,   +0.00,   -0.01,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
16,1687943508.75,2023-06-28 09:11:48,750,   +0.01,   +0.00,   -0.04,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
18,1687943509.25,2023-06-28 09:11:49,250,   +0.01,   +0.00,   -0.03,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
19,1687943509.5,2023-06-28 09:11:49,500,   +0.01,   +0.00,   -0.03,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
20,1687943509.75,2023-06-28 09:11:49,750,   +0.01,   +0.00,   -0.03,   +37.7,0.5,0,78,21.5,0.52,127.2,NaN,NaN,NaN,7075,14,300,20,NaN,0.5,NaN,4.02,0.457,4.01,0.222,NaN,
