Id,Timestamp,Time,MS,V,A,MV,T,Area1,current_density,humidity,ambient_temperature,bath_pH,bath_conductivity,diameter,roughness_average_b,roughness_standard_deviation_b,alloy,voltage,ramp_time,holding_time,experiment_time,area,observations,thickness_average_a,thickness_standard_deviation_a,thickness_average_b,thickness_standard_deviation_b,roughness_average_a,roughness_standard_deviation_a
403949,1679997300.25,2023-03-28 09:55:00,250,+0.008,+0.002,-0.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403952,1679997301,2023-03-28 09:55:01,000,+0.007,+0.001,-0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403955,1679997301.75,2023-03-28 09:55:01,750,+0.008,+0.002,-0.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403958,1679997302.5,2023-03-28 09:55:02,500,+0.008,+0.001,-2.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403961,1679997303.25,2023-03-28 09:55:03,250,+0.007,+0.002,-0.3,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403964,1679997304,2023-03-28 09:55:04,000,+0.008,+0.002,+1.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403967,1679997304.75,2023-03-28 09:55:04,750,-0.161,+0.003,-0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403970,1679997305.5,2023-03-28 09:55:05,500,-0.218,+0.003,-0.4,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403973,1679997306.25,2023-03-28 09:55:06,250,-0.239,+0.003,-0.8,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403976,1679997307,2023-03-28 09:55:07,000,-0.277,+0.002,+0.5,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403979,1679997307.75,2023-03-28 09:55:07,750,-0.282,+0.002,-0.4,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403982,1679997308.5,2023-03-28 09:55:08,500,-0.285,+0.001,+0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403985,1679997309.25,2023-03-28 09:55:09,250,-0.286,+0.002,-0.4,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403988,1679997310,2023-03-28 09:55:10,000,-0.288,+0.002,+0.5,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403991,1679997310.75,2023-03-28 09:55:10,750,-0.291,+0.002,+0.9,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403994,1679997311.5,2023-03-28 09:55:11,500,-0.293,+0.003,+0.9,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
403997,1679997312.25,2023-03-28 09:55:12,250,-0.295,+0.002,-0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404000,1679997313,2023-03-28 09:55:13,000,-0.297,+0.003,+0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404003,1679997313.75,2023-03-28 09:55:13,750,-0.298,+0.001,-0.5,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404006,1679997314.5,2023-03-28 09:55:14,500,-0.300,+0.003,-0.4,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404009,1679997315.25,2023-03-28 09:55:15,250,-0.302,+0.001,-0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404012,1679997316,2023-03-28 09:55:16,000,-0.304,+0.003,-0.3,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404015,1679997316.75,2023-03-28 09:55:16,750,-0.307,+0.001,-0.4,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404018,1679997317.5,2023-03-28 09:55:17,500,-0.308,+0.002,-0.5,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404021,1679997318.25,2023-03-28 09:55:18,250,-0.309,+0.001,+0.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404024,1679997319,2023-03-28 09:55:19,000,-0.311,+0.002,-0.6,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404027,1679997319.75,2023-03-28 09:55:19,750,-0.313,+0.001,+0.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404030,1679997320.5,2023-03-28 09:55:20,500,-0.314,+0.002,+0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404033,1679997321.25,2023-03-28 09:55:21,250,-0.315,+0.002,+0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404036,1679997322,2023-03-28 09:55:22,000,-0.316,+0.003,-0.6,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404039,1679997322.75,2023-03-28 09:55:22,750,-0.318,+0.002,+0.2,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
404042,1679997323.5,2023-03-28 09:55:23,500,-0.320,+0.002,-1.1,+36.9,0,0,,,,,,,,,,,,,,,,,,,,
